user,song,play_count
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOABJBU12A8C13F63F,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOAKMDU12A8C1346A9,25
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOANQFY12AB0183239,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOAXGDH12A8C13F8A1,26
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOBADEB12AB018275F,2
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOBOUPA12A6D4F81F1,2
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOEGIYH12A6D4FC0E3,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOEOJHS12AB017F3DC,2
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOFCPOU12A8C13BF40,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOHFJAQ12AB017E4AF,60
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOHFNKO12AB017C772,26
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOIZLKI12A6D4F7B61,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOLRGVL12A8C143BC3,8
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOMCAFM12A58A7B024,65
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOMGIYR12AB0187973,6
283882c3d18ff2ad0e17124002ec02b847d06e9a,SONQCXC12A6D4F6A37,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOOGNOZ12AAF3B2936,16
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOPUCYA12A8C13A694,51
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOSLQGG12A6D4F5045,45
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOSLQQJ12AB017BDCC,14
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOSVQNK12AC468D6BE,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOTVLQY12A58A798C2,21
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOUSMXX12AB0185C24,2
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOWCKVR12A8C142411,3
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOWNIWL12AB017B720,6
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOWRTJD12A8C132704,19
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOXAQJS12AB018CBF7,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOXKOIY12A8C13C1EA,2
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOXWYZP12AF72A42A6,1
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOYMIMI12AB0181E5C,14
283882c3d18ff2ad0e17124002ec02b847d06e9a,SOZVCRW12A67ADA0B7,30
1aa4fd215aadb160965110ed8a829745cde319eb,SOAFTRR12AF72A8D4D,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOAMIQK12A6701D94F,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOCVTLJ12A6310F0FD,12
1aa4fd215aadb160965110ed8a829745cde319eb,SODCNJX12A6D4F93CB,5
1aa4fd215aadb160965110ed8a829745cde319eb,SODEGIQ12A6D4FC6E3,4
1aa4fd215aadb160965110ed8a829745cde319eb,SOEPZQS12A8C1436C7,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOERYLG12A6701F07F,2
1aa4fd215aadb160965110ed8a829745cde319eb,SOFCPOU12A8C13BF40,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOHTKMO12AB01843B0,6
1aa4fd215aadb160965110ed8a829745cde319eb,SOIMCDE12A6D4F8383,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOIPYPB12A8C1360D4,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOITFCH12A6D4F9478,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOJSTYO12A8C13F200,5
1aa4fd215aadb160965110ed8a829745cde319eb,SOKLRPJ12A8C13C3FE,6
1aa4fd215aadb160965110ed8a829745cde319eb,SOKUTUM12A6701D9CD,2
1aa4fd215aadb160965110ed8a829745cde319eb,SOMGIYR12AB0187973,6
1aa4fd215aadb160965110ed8a829745cde319eb,SOMRYYN12A6310F0F3,4
1aa4fd215aadb160965110ed8a829745cde319eb,SONGIPI12A8AE46162,12
1aa4fd215aadb160965110ed8a829745cde319eb,SONIQRE12AF72A2B02,1
1aa4fd215aadb160965110ed8a829745cde319eb,SONVPTP12A6D4F7A34,2
1aa4fd215aadb160965110ed8a829745cde319eb,SOPQLBY12A6310E992,2
1aa4fd215aadb160965110ed8a829745cde319eb,SOPUCYA12A8C13A694,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOPXKYD12A6D4FA876,7
1aa4fd215aadb160965110ed8a829745cde319eb,SOQGVCS12AF72A078D,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOSPXWA12AB0181875,7
1aa4fd215aadb160965110ed8a829745cde319eb,SOSVPIE12A6D4FA873,5
1aa4fd215aadb160965110ed8a829745cde319eb,SOTCWRK12AB017E47D,7
1aa4fd215aadb160965110ed8a829745cde319eb,SOUKJBT12A6701C4D6,2
1aa4fd215aadb160965110ed8a829745cde319eb,SOWEJXA12A6701C574,4
1aa4fd215aadb160965110ed8a829745cde319eb,SOWRTJD12A8C132704,1
1aa4fd215aadb160965110ed8a829745cde319eb,SOWUTFF12A8C138AB2,3
1aa4fd215aadb160965110ed8a829745cde319eb,SOXFPND12AB017C9D1,2
1aa4fd215aadb160965110ed8a829745cde319eb,SOXLOQG12AF72A2D55,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOABJBU12A8C13F63F,2
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOAFTRR12AF72A8D4D,215
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOANQFY12AB0183239,7
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOBOUPA12A6D4F81F1,5
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOBXHDL12A81C204C0,71
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SODACBL12A8C13C273,175
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SODCNJX12A6D4F93CB,8
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SODEOCO12A6701E922,7
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOEBOWM12AB017F279,2
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOEHWGF12A6D4F8B2B,4
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOEOJHS12AB017F3DC,17
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOHYSXA12AB0186704,4
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOIBLKQ12AB0183E85,3
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOIZAZL12A6701C53B,6
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOJTLHS12A8C13F633,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOKLRPJ12A8C13C3FE,7
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOKOSPK12A8C13C088,13
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOKUAGP12A8C133B94,19
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOLZEED12A6D4FA8C9,2
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOMYXWV12A8C14232E,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SONNSYV12A8C146BEC,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SONWUZV12AB0180BAD,5
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SONYKOW12AB01849C9,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOPQLBY12A6310E992,10
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOQWYAQ12A6D4FB9A3,12
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOSJSSU12A6D4F8F41,5
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOSYOHI12A8C144584,8
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOTCMDJ12A6D4F8528,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOUKXIN12A8C133C7F,2
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOUOEMP12A8C13866E,5
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOWEJXA12A6701C574,1
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOWOMMY127F8096DF9,2
6ccd111af9b4baa497aacd6d1863cbf5a141acc6,SOXPFLM12A8AE48C50,6
6d625c6557df84b60d90426c0116138b617b9449,SOAJXWO12A8C1436D0,5
6d625c6557df84b60d90426c0116138b617b9449,SOAKMDU12A8C1346A9,1
6d625c6557df84b60d90426c0116138b617b9449,SOARUPP12AB01842E0,4
6d625c6557df84b60d90426c0116138b617b9449,SOAUFOF12AB0180C65,4
6d625c6557df84b60d90426c0116138b617b9449,SOAXGDH12A8C13F8A1,21
